r_non,r_lux,dl,dn,du,G_w85,G_w100,dl_w85,dn_w85,du_w85,dl_w100,dn_w100,du_w100
0.345,0.230967016785804,0.122306227578425,0.208320498351383,0.153114307793542,0.000189507756527374,0.000193809202585937,0.122306227578425,0.208320498351383,0.153114307793542,0.143210114496319,0.243875235382164,0.179216781731398
0.3475,0.229834420100721,0.115990865447252,0.219448346914977,0.153114307793542,0.000274068841371378,0.000280201211305231,0.115990865447252,0.219448346914977,0.153114307793542,0.135846323667505,0.256847503639224,0.179216781731398
0.35,0.228701823415638,0.109657842727606,0.230544731242079,0.153114307793542,0.000374152189718369,0.000382437772652566,0.109657842727606,0.230544731242079,0.153114307793542,0.128458788527372,0.269778907273632,0.179216781731398
0.3525,0.227569226730555,0.103306995078207,0.241610235133582,0.153114307793542,0.000489745201979308,0.000500505995270739,0.103306995078207,0.241610235133582,0.153114307793542,0.121047251208905,0.282670349771381,0.179216781731398
0.355,0.226436630045472,0.0969381561383829,0.252645433760242,0.153114307793542,0.00062083609605823,0.000634393888591212,0.0969381561383829,0.252645433760242,0.153114307793542,0.113611450167026,0.295522719619433,0.179216781731398
0.3575,0.225304033360389,0.0905511574932318,0.263650893896109,0.153114307793542,0.000767413899773639,0.000784090354224665,0.0905511574932318,0.263650893896109,0.153114307793542,0.106151120104709,0.308336890779996,0.179216781731398
0.36,0.224171436675306,0.0841458286380351,0.274627174145311,0.153114307793542,0.000929468443622183,0.000949585177773105,0.0841458286380351,0.274627174145311,0.153114307793542,0.0986659918972494,0.321113723149541,0.179216781731398
0.3625,0.223038839990224,0.0777219969419063,0.285574825162481,0.153114307793542,0.00110699035387907,0.00113086902105397,0.0777219969419063,0.285574825162481,0.153114307793542,0.0911557925146288,0.333854063003196,0.179216781731398
0.365,0.221906243305141,0.0712794876106499,0.296494389867014,0.153114307793542,0.00129997104602753,0.00132793341472615,0.0712794876106499,0.296494389867014,0.153114307793542,0.0836202449419263,0.346558743425166,0.179216781731398
0.3675,0.220773646620058,0.0648181236488116,0.307386403651435,0.153114307793542,0.00150840271850983,0.0015407707513091,0.0648181236488116,0.307386403651435,0.153114307793542,0.0760590680976991,0.359228584725766,0.179216781731398
0.37,0.219641049934975,0.058337725820904,0.318251394584038,0.153114307793542,0.00173227834679202,0.00176937427858737,0.058337725820904,0.318251394584038,0.153114307793542,0.0684719767502898,0.371864394845627,0.179216781731398
0.3725,0.218508453249892,0.051838112611772,0.329089883606062,0.153114307793542,0.00197159167773864,0.00201373809338934,0.051838112611772,0.329089883606062,0.153114307793542,0.0608586814319765,0.384466969747778,0.179216781731398
0.375,0.217375856564809,0.045319100186095,0.339902384723549,0.153114307793542,0.00222633722428767,0.00227385713573747,0.045319100186095,0.339902384723549,0.153114307793542,0.053218888350919,0.397037093796947,0.179216781731398
0.3775,0.216243259879726,0.0387805023469812,0.350689405194132,0.153114307793542,0.00249651026042386,0.00254972718335667,0.0387805023469812,0.350689405194132,0.153114307793542,0.0455522993008109,0.409575540130688,0.179216781731398
0.38,0.215110663194643,0.0322221304936495,0.361451445708889,0.153114307793542,0.00278210681644064,0.00284134484654086,0.0322221304936495,0.361451445708889,0.153114307793542,0.0378586115681863,0.422083071014715,0.179216781731398
0.3825,0.213978066509561,0.0256437935781585,0.372189000569468,0.153114307793542,0.00308312367449026,0.00314870756336494,0.0256437935781585,0.372189000569468,0.153114307793542,0.0301375178372888,0.434560438192506,0.179216781731398
0.385,0.212845469824478,0.0190452980611676,0.382902557860761,0.153114307793542,0.00339955836441341,0.0034718135952404,0.0190452980611676,0.382902557860761,0.153114307793542,0.022388706092441,0.447008383222713,0.179216781731398
0.3875,0.211712873139395,0.0124264478671976,0.393592599618312,0.153114307793542,0.00373140915984271,0.00381066202280789,0.0124264478671976,0.393592599618312,0.153114307793542,0.0146118595178186,0.459427637807574,0.179216781731398
0.39,0.210580276454312,0.00578704433636588,0.404259601994282,0.153114307793542,0.00407867507458826,0.00416525274216062,0.00578704433636588,0.404259601994282,0.153114307793542,0.00680665639506218,0.471818924112229,0.179216781731398
