s,r_non,r_lux,G_w85,G_w100,G_min_4corners,verdict
1.421,0.267749708452019,0.265964386437375,0.00533557551019892,0.00544804726948189,0.00444845893804513,ADOPT
1.422,0.264830282639788,0.267286999236286,0.00583069205779263,0.00595393039149439,0.00490068725674797,ADOPT
1.423,0.261910856827559,0.268609612035197,0.00634827487997036,0.00648281415976915,0.00537524122775446,ADOPT
1.424,0.258991431015329,0.269932224834108,0.00688840099174515,0.00703478289437021,0.00587219301350295,ADOPT
1.425,0.256072005203099,0.271254837633019,0.00745115003058716,0.00760992392152782,0.00639161727785031,ADOPT
1.426,0.253152579390868,0.27257745043193,0.00803660432371167,0.00820832765815294,0.00693359124790904,ADOPT
1.427,0.250233153578639,0.27390006323084,0.00864484895837414,0.00883008770050864,0.00749819477864222,ADOPT
1.428,0.247313727766409,0.275222676029751,0.00927597185538331,0.009475300917268,0.00808551042039352,ADOPT
1.429,0.244394301954179,0.276545288828662,0.00993006384596518,0.0101440675472113,0.00869562348943942,ADOPT
1.43,0.241474876141948,0.277867901627573,0.0106072187521605,0.0108364913018296,0.00932862214176933,ADOPT
1.431,0.238555450329719,0.279190514426484,0.0113075334709438,0.0115526794731249,0.00998459745023239,ADOPT
1.432,0.235636024517489,0.280513127225394,0.012031108062258,0.0122927430469146,0.0106636434852329,ADOPT
1.433,0.232716598705259,0.281835740024305,0.0127780458411796,0.0130567968219755,0.011365857399161,ADOPT
1.434,0.229797172893029,0.283158352823216,0.0135484534744375,0.0138449595353796,0.0120913395147578,ADOPT
1.435,0.226877747080799,0.284480965622127,0.0143424410815206,0.0146573539944141,0.0128401934176278,ADOPT
1.436,0.223958321268569,0.285803578421038,0.0151601223406533,0.0154941072154963,0.0136125260531244,ADOPT
1.437,0.221038895456339,0.287126191219949,0.0160016145998819,0.0163553505705286,0.0144084478278455,ADOPT
1.438,0.218119469644109,0.288448804018859,0.0168670389935904,0.017241219941182,0.015228072716016,ADOPT
1.439,0.215200043831879,0.28977141681777,0.0177565205647517,0.0181518558816249,0.0160715183710077,ADOPT
1.44,0.212280618019649,0.291094029616681,0.0186701883932535,0.0190874037902645,0.0169389062423125,ADOPT
1.441,0.209361192207419,0.292416642415592,0.0196081757306589,0.020048014091109,0.0178303616982777,ADOPT
1.442,0.206441766395189,0.293739255214503,0.0205706201417923,0.0210338424254136,0.0187460141549427,ADOPT
1.443,0.203522340582959,0.295061868013413,0.0215576636535677,0.0220450498543274,0.019685997211345,ADOPT
1.444,0.200602914770729,0.296384480812324,0.0225694529115058,0.0230818030733216,0.020650448791682,ADOPT
1.445,0.197683488958499,0.297707093611235,0.0236061393444234,0.0241442746392456,0.0216395112947511,ADOPT
1.446,0.194764063146269,0.299029706410146,0.0246678793378137,0.0252326432109332,0.0226533317511157,ADOPT
1.447,0.191844637334039,0.300352319209057,0.0257548344164783,0.0263470938043655,0.0236920619884877,ADOPT
1.448,0.188925211521809,0.301674932007967,0.0268671714370108,0.0274878180634852,0.0247558588058414,ADOPT
1.449,0.186005785709579,0.302997544806878,0.0280050627907861,0.0286550145478647,0.0258448841568294,ADOPT
1.45,0.183086359897349,0.304320157605789,0.0291686866181562,0.0298488890385331,0.026959305343099,ADOPT
1.451,0.180166934085119,0.3056427704047,0.0303582270346169,0.0310696548634069,0.0280992952181738,ADOPT
1.452,0.177247508272889,0.306965383203611,0.0315738743697597,0.0323175332438882,0.0292650324025967,ADOPT
1.453,0.174328082460659,0.308287996002522,0.0328158254199169,0.0335927536643775,0.0304567015111122,ADOPT
1.454,0.17140865664843,0.309610608801432,0.0340842837154455,0.0348955542665893,0.031674493392705,ADOPT
1.455,0.168489230836199,0.310933221600343,0.0353794598037243,0.0362261822707827,0.0329186053844035,ADOPT
1.456,0.165569805023969,0.312255834399254,0.0367015715489814,0.0375848944262162,0.0341892415798096,ADOPT
1.457,0.162650379211739,0.313578447198165,0.0380508444502194,0.0389719574933923,0.0354866131134287,ADOPT
1.458,0.15973095339951,0.314901059997076,0.0394275119785694,0.0403876487609274,0.0368109384619297,ADOPT
1.459,0.156811527587279,0.316223672795987,0.0408318159355663,0.0418322566001946,0.0381624437636067,ADOPT
1.46,0.15389210177505,0.317546285594897,0.0422640068339459,0.0433060810612386,0.0395413631573881,ADOPT
1.461,0.150972675962819,0.318868898393808,0.043724344302737,0.0448094345138594,0.0409479391428921,ADOPT
1.462,0.14805325015059,0.320191511192719,,,,INFEASIBLE
1.463,0.145133824338359,0.32151412399163,,,,INFEASIBLE
1.464,0.14221439852613,0.322836736790541,,,,INFEASIBLE
1.465,0.139294972713899,0.324159349589451,,,,INFEASIBLE
1.466,0.13637554690167,0.325481962388362,,,,INFEASIBLE
1.467,0.133456121089439,0.326804575187273,,,,INFEASIBLE
1.468,0.13053669527721,0.328127187986184,,,,INFEASIBLE
1.469,0.127617269464979,0.329449800785095,,,,INFEASIBLE
1.47,0.12469784365275,0.330772413584005,,,,INFEASIBLE
1.471,0.121778417840519,0.332095026382916,,,,INFEASIBLE
1.472,0.11885899202829,0.333417639181827,,,,INFEASIBLE
1.473,0.11593956621606,0.334740251980738,,,,INFEASIBLE
1.474,0.11302014040383,0.336062864779649,,,,INFEASIBLE
1.475,0.110100714591599,0.33738547757856,,,,INFEASIBLE
1.476,0.10718128877937,0.33870809037747,,,,INFEASIBLE
1.477,0.10426186296714,0.340030703176381,,,,INFEASIBLE
1.478,0.10134243715491,0.341353315975292,,,,INFEASIBLE
1.479,0.0984230113426796,0.342675928774203,,,,INFEASIBLE
1.48,0.0955035855304499,0.343998541573114,,,,INFEASIBLE
1.481,0.0925841597182197,0.345321154372025,,,,INFEASIBLE
1.482,0.0896647339059901,0.346643767170935,,,,INFEASIBLE
1.483,0.0867453080937596,0.347966379969846,,,,INFEASIBLE
1.484,0.08382588228153,0.349288992768757,,,,INFEASIBLE
1.485,0.0809064564692998,0.350611605567668,,,,INFEASIBLE
1.486,0.0779870306570701,0.351934218366579,,,,INFEASIBLE
1.487,0.0750676048448397,0.35325683116549,,,,INFEASIBLE
1.488,0.0721481790326101,0.3545794439644,,,,INFEASIBLE
1.489,0.0692287532203798,0.355902056763311,,,,INFEASIBLE
1.49,0.0663093274081502,0.357224669562222,,,,INFEASIBLE
1.491,0.0633899015959198,0.358547282361133,,,,INFEASIBLE
1.492,0.0604704757836902,0.359869895160043,,,,INFEASIBLE
1.493,0.0575510499714599,0.361192507958954,,,,INFEASIBLE
1.494,0.0546316241592303,0.362515120757865,,,,INFEASIBLE
1.495,0.0517121983469999,0.363837733556776,,,,INFEASIBLE
1.496,0.0487927725347702,0.365160346355687,,,,INFEASIBLE
1.497,0.04587334672254,0.366482959154598,,,,INFEASIBLE
1.498,0.0429539209103104,0.367805571953508,,,,INFEASIBLE
1.499,0.0400344950980799,0.369128184752419,,,,INFEASIBLE
1.5,0.0371150692858503,0.37045079755133,,,,INFEASIBLE
